OF_y_flip_mean,RREV_flip_mean,flip_d_mean,landing_rate_4_leg
-8.0,6.5,0.8999999999999999,0.0
-6.0,6.5,0.8999999999999999,0.0
-4.0,6.5,0.8999999999999999,0.0
-2.0,6.5,0.8999999999999999,0.0
0.0,6.5,0.8999999999999999,0.0
-20.0,6.5,1.05,0.0
-18.0,6.5,1.05,0.0
-16.0,6.5,1.05,0.0
-14.0,6.5,1.05,0.0
-12.0,6.5,1.05,0.0
-10.0,6.5,1.05,0.0
-8.0,6.5,1.05,0.0
-6.0,6.5,1.05,0.0
-4.0,6.5,1.05,0.0
-2.0,6.5,1.05,0.0
0.0,6.5,1.05,0.0
-20.0,6.5,1.2,0.0
-18.0,6.5,1.2,0.0
-16.0,6.5,1.2,0.0
-14.0,6.5,1.2,0.0
-12.0,6.5,1.2,0.0
-10.0,6.5,1.2,0.0
-8.0,6.5,1.2,0.0
-6.0,6.5,1.2,0.0
-4.0,6.5,1.2,0.0
-2.0,6.5,1.2,0.0
0.0,6.5,1.2,0.0
-20.0,6.5,1.3499999999999999,0.0
-18.0,6.5,1.3499999999999999,0.0
-16.0,6.5,1.3499999999999999,0.0
-14.0,6.5,1.3499999999999999,0.0
-12.0,6.5,1.3499999999999999,0.0
-10.0,6.5,1.3499999999999999,0.0
-8.0,6.5,1.3499999999999999,0.0
-6.0,6.5,1.3499999999999999,0.0
-4.0,6.5,1.3499999999999999,0.0
-2.0,6.5,1.3499999999999999,0.0
0.0,6.5,1.3499999999999999,0.0
-20.0,6.5,1.5,0.0
-18.0,6.5,1.5,0.0
-16.0,6.5,1.5,0.0
-14.0,6.5,1.5,0.0
-12.0,6.5,1.5,0.0
-10.0,6.5,1.5,0.0
-8.0,6.5,1.5,0.0
-6.0,6.5,1.5,0.0
-4.0,6.5,1.5,0.0
-2.0,6.5,1.5,0.0
0.0,6.5,1.5,0.0
-13.737387097273114,5.0,0.30781812899310185,0.0
-13.737387097273114,5.0,0.3420201433256687,0.0
-13.737387097273112,5.0,0.3762221576582356,0.0
-11.398851847095438,5.0,0.36152588218767245,0.0
-11.398851847095436,5.0,0.4016954246529695,0.0
-11.39885184709544,5.0,0.44186496711826634,0.0
-9.659003935150798,5.0,0.41373935063642026,0.0
-9.659003935150798,5.0,0.4597103895960225,0.0
-9.659003935150798,5.0,0.5056814285556247,0.0
-8.304109132083651,5.0,0.46424272188089166,0.0
-8.304109132083651,5.0,0.515825246534324,0.0
-8.304109132083651,5.0,0.5674077711877564,0.0
-7.211005569278382,5.0,0.5128272517592396,0.0
-7.211005569278381,5.0,0.5698080575102662,0.0
-7.211005569278381,5.0,0.6267888632612928,0.0
-6.303670477986092,5.0,0.5592921272025883,0.0
-6.303670477986092,5.0,0.6214356968917647,0.0
-6.303670477986093,5.0,0.6835792665809411,0.0
-5.532587889085858,5.0,0.6034452962500342,0.0
-5.532587889085859,5.0,0.6704947736111491,0.0
-5.532587889085859,5.0,0.737544250972264,0.0
-4.864075143321218,5.0,0.6451042618516061,0.0
-4.864075143321218,5.0,0.7167825131684512,0.0
-4.864075143321218,5.0,0.7884607644852963,0.0
-4.274376652434184,5.0,0.6840968361781828,0.0
-4.274376652434184,5.0,0.7601075957535365,0.0
-4.274376652434185,5.0,0.8361183553288901,0.0
-3.746211779543822,5.0,0.7202618523205956,0.0
-3.746211779543822,5.0,0.800290947022884,0.0
-3.7462117795438212,5.0,0.8803200417251725,0.0
-3.266663037306354,5.0,0.7534498304362757,0.0
-3.2666630373063543,5.0,0.8371664782625284,0.0
-3.266663037306354,5.0,0.9208831260887814,0.0
-2.8258330899939845,5.0,0.7835235955900761,0.0
-2.825833089993985,5.0,0.8705817728778623,0.0
-2.825833089993985,5.0,0.9576399501656485,0.0
-2.415961276770152,5.0,0.8103588447355683,0.0
-2.415961276770152,5.0,0.9003987163728537,0.0
-2.415961276770152,5.0,0.9904385880101391,0.0
-2.0308245096435713,5.0,0.8338446604933216,0.0
-2.030824509643571,5.0,0.9264940672148019,0.0
-2.0308245096435713,5.0,1.019143473936282,0.0
-1.665319362827023,5.0,0.8538839696025848,0.0
-1.665319362827023,5.0,0.9487599662250943,0.0
-1.665319362827023,5.0,1.0436359628476037,0.0
-1.315162382641542,5.0,0.8703939441514598,0.0
-1.3151623826415417,5.0,0.9671043823905109,0.0
-1.315162382641542,5.0,1.063814820629562,0.0
-0.9766689094762666,5.0,0.8833063439271761,0.0
-0.9766689094762666,5.0,0.981451493252418,0.0
-0.9766689094762667,5.0,1.0795966425776595,0.0
-0.6465845509744212,5.0,0.8925677984714421,0.0
-0.6465845509744214,5.0,0.9917419983016023,0.0
-0.6465845509744212,5.0,1.0909161981317625,0.0
-0.32195186685881927,5.0,0.8981400276750552,0.0
-0.32195186685881927,5.0,0.9979333640833946,0.0
-0.3219518668588192,5.0,1.0977267004917342,0.0
-3.061616997868383e-16,5.0,0.9,0.0
-3.061616997868383e-16,5.0,1.0,0.0
-3.061616997868383e-16,5.0,1.1,0.0
